ad_id,ad_name,long_version_video_id,short_version_video_id
0,chats-conditionate,392,243
1,isomerizing-louma,1455,1694
2,tipcat-preorder,853,306
3,incipient-mumpishly,893,211
4,xylorimbas-drosophilas,753,126
5,disloyalties-modulates,27,836
6,scoreboards-preselections,1534,1758
7,tiptop-stummel,529,580
8,also-subovate,1718,592
9,stimy-cathodically,295,1561
10,basher-jarping,1149,1595
11,nonresident-scrofulously,1120,49
12,reembark-avoidance,176,1785
13,electrophysiologically-toothless,113,236
14,salmagundi-excommunications,548,491
15,elasticness-bandager,757,1711
16,carboxylases-faint,52,975
17,redshirted-deflexional,1398,1245
18,tarpon-hamartiology,890,1427
19,praetorships-buggering,1699,1551
20,lurch-galivant,926,1555
21,deflowering-insincerities,1415,1538
22,bibliothecae-blackjack,1832,993
23,prioritises-macromolecular,186,1914
24,moleskin-depuratives,1948,692
25,liquidating-set,1152,1351
26,orchestraters-septentrional,891,812
27,retimed-stelleridan,439,361
28,accended-marooned,485,1321
29,alexine-dapperer,658,315
30,nationalisms-anecdotist,150,1475
31,bichrome-confiseurs,1214,56
32,italicisation-drinkablenesses,1936,1018
33,diplozoic-pellack,421,261
34,disinvest-branders,1610,829
35,flashlamps-oligarchically,1662,1328
36,eyeshadows-disentrail,979,622
37,multitudes-bedticks,1993,1961
38,counterarguments-bagpiping,968,902
39,inundated-gutsers,24,566
40,manoscopy-naifer,1015,1182
41,cantharidic-misfires,517,802
42,supplicatory-dicrotism,1719,630
43,iconolater-numerate,1727,1563
44,librations-nichering,1967,1199
45,fumarolic-manyfold,694,1565
46,merceries-pyranoside,562,312
47,convexity-pinchbugs,1061,898
48,mollycoddles-gullying,1959,806
49,faineances-panpsychists,978,819
50,howling-oeuvre,144,948
51,weightlessness-underestimations,231,127
52,microbiological-singing,1006,868
53,medics-funner,533,1292
54,finaliser-monohydric,1025,778
55,anopsia-sentimentalism,1777,1420
56,voltaic-interpolates,469,955
57,beadiest-chorusmasters,645,1396
58,hules-belleters,111,331
59,suppressed-gillnets,1774,1768
60,tsardom-iodoforms,637,463
61,guslar-lithiums,1156,1687
62,puns-vicarship,656,1784
63,tranquilize-supranationalisms,182,1966
64,roughened-simonise,1920,766
65,brashing-randomizations,681,907
66,skyman-crossroad,895,1261
67,barters-unsteadies,701,1715
68,abandonment-distinctness,455,644
69,hefted-soliloquists,942,823
70,vexillologies-echinuses,746,96
71,terpineols-stereotyper,1185,130
72,uncategorisable-lilts,1448,1536
73,balletomania-falderaling,400,352
74,caudillos-desertified,1665,953
75,baken-welch,1932,1057
76,coemploy-hysteranthous,1927,1454
77,ascertain-pleas,55,1964
78,centennially-rockfalls,1091,338
79,mumbliest-phial,737,288
80,cinquecentos-feignednesses,4,1019
81,compradore-blit,484,488
82,toluols-reaedifyed,1070,1904
83,joggling-destructo,535,1655
84,nonvegetarian-submittings,47,1320
85,embassages-precognoscing,177,605
86,subperiods-rebegin,128,929
87,felching-shortarses,165,1888
88,avens-electroencephalographic,180,1191
89,dungier-epiphysis,86,1413
90,gynaecia-stickhandle,1234,817
91,agaric-articulatenesses,982,1571
92,mitched-micromanipulations,776,248
93,tableaus-repatriated,199,1980
94,mucins-culicine,1063,1546
95,prunted-outstation,1810,1290
96,preplanning-prostituted,1145,290
97,conjurer-outrocking,1225,695
98,inclosures-whillywhaws,1726,729
99,crankcase-nonequilibria,42,911
100,pneumonias-dispassionately,1073,1558
101,unelectrified-gallicise,309,931
102,gaggeries-chromotype,251,708
103,avifaunas-perchlorate,208,1087
104,inflictor-hydrosoma,1922,1917
105,portrayed-aldermanlike,522,217
106,carboyed-microcyte,8,78
107,upstep-rand,1029,1102
108,maltsters-stethoscopists,1030,1067
109,guangos-infusions,1337,1
110,lingers-quickbeam,238,203
111,woon-issues,1495,151
112,effectualness-scathing,1802,648
113,oanshagh-hindquarters,578,202
114,podiums-lea,961,1076
115,bouses-devitalizing,10,570
116,cuneal-backspaces,1863,1368
117,gangsterdom-noncrisis,102,1923
118,neafes-overadvertizing,1089,1144
119,seamanships-kalpas,473,613
120,enantiopathies-rechanging,1174,1066
121,minbar-heediness,1519,263
122,retextured-unmerited,1587,1871
123,brawnily-chlorella,1709,1209
124,retrospecting-optics,671,1559
125,blacktops-nummuline,1032,59
126,underuse-microsleeps,879,821
127,pervier-nasalise,1629,506
128,unctuously-refractometer,51,163
129,cliparts-synoicous,1638,507
130,genealogize-maquiladoras,413,482
131,alchemical-supported,1751,129
132,hemitropous-semiofficially,325,1901
133,terracettes-mimer,85,225
134,autorotating-frijole,1049,534
135,chaffinches-quinquagesimal,949,249
136,trevallys-gunneries,655,1722
137,bordereau-inquisitive,794,1304
138,disaccording-storekeeping,1592,1038
139,remixed-glorifies,1925,1973
140,halogenation-dandyfunks,1530,886
141,braggartly-holstering,914,1275
142,emption-snouty,1958,395
143,duskened-aldohexose,1609,540
144,torridness-schemozzled,546,583
145,aidless-patronized,652,519
146,lollapalooza-unexploded,759,565
147,saliences-experiencer,807,0
148,aghas-trunksleeve,866,1933
149,pummelled-acidifies,26,317
150,cardiologists-tonkers,252,1598
151,kazillions-geomedicines,1154,1001
152,nickeliferous-pyrolas,1405,927
153,syncopation-methenamine,1036,888
154,arithmophobias-battalions,358,214
155,blockishly-undermines,216,590
156,fleecy-epacts,425,995
157,okay-windsail,1814,707
158,pepperer-rustication,1799,1044
159,shipless-refinished,1934,1233
160,semilethal-vidimuses,284,1230
161,extensionists-throaty,711,193
162,conspirers-physiques,1197,1782
163,sinewless-eughen,1382,1539
164,arachnophobes-whangam,984,615
165,workfare-gunboat,277,1976
166,eastlin-carbonadoing,1657,1254
167,strewments-calceolarias,1968,1885
168,laterising-aquaphobics,389,1589
169,hypophysectomies-carhopping,1796,189
170,onloads-ballyard,1649,328
171,operosenesses-kiwifruit,71,1671
172,futhork-role,108,509
173,pressors-disanimate,164,1650
174,starboarding-nephrotoxicities,909,1210
175,roue-mallanders,1541,1617
176,geo-intergranular,135,621
177,excel-postilions,841,298
178,immobilism-sugarcoat,702,1168
179,clabbers-tostada,1161,795
180,cagyness-ferine,1721,17
181,reprographic-centralization,818,739
182,blastomeric-nincompoopery,1566,1543
183,undepreciated-dankly,98,1433
184,expressiveness-gulfweeds,1206,1562
185,tautologisms-pickin,1962,967
186,bandas-chinaman,152,1949
187,dimethylhydrazines-quicksilver,266,1244
188,nonathlete-overtreated,492,1117
189,fallfish-stripiness,860,1676
190,smalminess-shisos,1772,1269
191,relieved-utilitarianized,1053,1989
192,mathematician-beekeepers,119,1857
193,babouche-footwears,1776,1713
194,guanazolos-suburbanized,1047,1297
195,remanences-croquignole,1002,1887
196,triggering-lassitude,1666,531
197,henges-thatness,336,816
198,bigfoots-epispore,1661,804
199,forlana-demivolte,892,1600
200,cystitides-protoxids,1130,305
201,employing-batsman,1945,91
202,sesquiplicate-canalizations,599,480
203,midsts-ambulatorily,1447,1743
204,bellocked-adorably,1367,1360
205,aviatrixes-unheededly,470,275
206,ridglings-windsock,1170,784
207,treponemal-reseau,1023,1392
208,postvasectomy-lubrical,864,158
209,manatu-semillon,1843,1838
210,checkroom-graffiting,985,271
211,weisenheimer-paronymic,543,857
212,greenbackism-wheelbarrowing,1336,18
213,moldier-subtilizations,1092,84
214,refutal-heterocyclics,1226,364
215,nonreproductive-ravines,1532,393
216,applies-aerobic,1586,1187
217,semitone-nonmobile,923,133
218,ecstasising-zootechnical,1429,850
219,tabu-lunchrooms,1833,109
220,county-postpuberty,285,1148
221,knelled-hamada,569,809
222,pyloruses-retested,1346,29
223,spumone-mistrusting,1831,1359
224,accorders-rockery,664,1752
225,demodulator-justers,1502,39
226,brawer-utterableness,925,1133
227,effortlessnesses-deaminizing,1011,1270
228,qins-outquotes,1753,1045
229,miniaturizes-beacon,667,21
230,lumme-nonconducting,1096,1227
231,patrialize-seedless,1473,1764
232,medick-resocialised,1050,919
233,hypocist-chouse,983,682
234,singers-loerie,1467,1064
235,constructure-metaplastic,1456,1033
236,subtilizer-brughs,587,762
237,bilbo-cachinnates,304,916
238,reuttering-shadowcastings,712,1163
239,latte-passados,1698,1835
240,dimethyltryptamines-monotone,1180,875
241,ohm-snogs,1737,450
242,branded-surefootedly,930,669
243,subspecialists-carnalizing,848,273
244,unilinear-villagers,1940,60
245,resaws-seraphins,680,631
246,indew-sultana,244,63
247,boshboks-decarburize,387,319
248,saltness-savates,822,650
249,homologation-boyfriend,218,1344
250,hardly-pingler,11,1419
251,familiarisers-incurved,861,1158
252,unequalled-colleger,253,1416
253,dimerise-bawls,1155,1876
254,cariousnesses-superqualities,1781,1283
255,overcloying-beadiest,1164,1125
256,verifying-galabieh,73,1293
257,associabilities-impenetrated,405,1557
258,fixities-madtom,467,377
259,basidiospores-flutinas,89,1631
260,emfs-swoffer,1308,1240
261,beccaficos-politenesses,114,227
262,inburning-microbarographs,1942,34
263,obtends-bejeweling,140,171
264,doobries-spriteliest,1421,1422
265,catamenia-forebodingness,453,1237
266,scaremonger-epizoite,920,870
267,neuroplasm-scalloping,212,434
268,abdicated-midbrain,775,350
269,propylaeum-consulters,505,749
270,bard-kottaboses,121,1441
271,unwomans-streptothricin,1902,278
272,langouste-scourged,1849,1424
273,jambee-tee,878,440
274,roughcast-untrueness,1056,1483
275,musicotherapies-decretive,443,810
276,dilutees-spicate,688,167
277,mooly-hitchhikers,542,287
278,whitewashed-oversteer,1869,462
279,illegible-viameter,913,136
280,secularizers-ophiomorph,1826,1366
281,amooving-colotomy,1620,1981
282,cerium-multicentric,635,1008
283,slipnooses-hissers,715,1511
284,chymes-polytonality,1167,474
285,maunds-counterdemonstrates,1014,1506
286,amphioxuses-stipuled,940,398
287,gastrotrich-plumpiest,628,247
288,interplead-mythomaniac,1080,653
289,perscrutations-kenosises,1731,471
290,deglaciated-multihued,394,1310
291,outdoers-imposthumated,952,13
292,moistened-resolutes,788,1670
293,incommutability-chromed,166,1681
294,cytoskeletons-includes,97,459
295,quillaja-receptivity,1893,408
296,gliffings-superb,1202,840
297,birdhouses-precisians,1723,970
298,socializes-organologies,1400,412
299,vagrancies-badinaged,1189,761
300,marriers-stalks,187,554
301,ecoterrorism-doggedness,796,1289
302,clypeiform-unclassifiable,138,1577
303,pheon-frequences,595,1458
304,scorper-rared,1505,1352
305,vulcanologists-forthcome,106,1892
306,importable-landgrab,815,170
307,aubergine-tusking,197,748
308,turaco-mentorings,834,1013
309,befriender-predigestion,727,936
310,extensionalism-greenmailer,1573,7
311,achlorhydria-charlotte,1515,717
312,hikoiing-parasitologist,1280,744
313,stigmatiser-preplaces,1055,616
314,pillorise-deciphering,1271,147
315,glutenins-predominant,1706,1792
316,whiplashes-intermediators,433,1207
317,scorers-trousseau,1492,1954
318,urson-repulser,1501,1062
319,pertinency-strontia,1494,481
320,stance-unsparred,1435,1476
321,underkeeper-condors,1724,1924
322,halfwitted-steganographs,1395,160
