platform_id,video_id,watch_count,total_time_watched,price_per_watch
160,1606,1999,27986,0.32
159,642,1507,45210,0.43
22,400,43705,1748200,0.1
156,1143,186402,4660050,0.14
159,1840,1509,39234,0.12
158,1755,1502,16522,0.33
158,1407,1501,63042,0.15
151,1686,466024,24699272,0.14
56,433,495393,29723580,0.46
159,1828,1510,27180,0.2
158,1236,1500,12000,0.49
65,960,699577,19588156,0.38
99,1829,415681,10392025,0.37
36,1561,724609,14492180,0.32
161,721,1501,16511,0.43
64,1111,629098,8178274,0.32
123,1245,714336,8572032,0.19
106,2,892917,5357502,0.47
161,1914,1498,17976,0.45
1,840,693710,11793070,0.24
32,1854,440927,23810058,0.48
0,378,222315,3334725,0.15
107,57,126337,2274066,0.15
69,1071,937470,27186630,0.42
162,1009,1501,73549,0.46
160,1523,2005,62155,0.43
158,789,1499,71952,0.18
110,1117,183765,1837650,0.29
22,139,238590,2863080,0.31
162,1772,1500,78000,0.22
161,1023,1504,40608,0.49
149,1829,357342,8933550,0.47
59,1905,986705,8880345,0.43
103,935,934836,19631556,0.49
69,689,662999,15911976,0.22
124,548,73827,3026907,0.24
130,498,949737,16145529,0.28
91,165,538895,30717015,0.25
150,928,512991,26162541,0.15
159,305,1502,42056,0.38
95,1645,319786,4477004,0.35
27,0,445971,4459710,0.48
143,1094,946405,13249670,0.35
22,1068,162017,4698493,0.3
73,433,804459,48267540,0.47
16,1786,194575,10312475,0.15
95,119,542179,29819845,0.47
77,1333,838788,15098184,0.48
160,1883,1998,75924,0.25
158,1722,1500,45000,0.35
109,784,524992,9974848,0.27
160,94,2006,54162,0.18
82,1083,863199,25032771,0.28
98,842,395581,3164648,0.12
158,775,1504,64672,0.24
161,1712,1504,78208,0.1
10,1678,167362,9874358,0.19
0,1537,111231,3559392,0.28
74,1220,217157,5428925,0.14
67,764,166734,9670572,0.15
9,573,123294,3698820,0.24
99,112,989971,4949855,0.19
150,1772,26295,1367340,0.18
126,889,631500,17050500,0.41
108,1293,217588,3046232,0.17
77,204,121976,2195568,0.43
161,1041,1503,76653,0.11
161,426,1505,16555,0.4
147,1848,925302,20356644,0.36
124,1245,712446,8549352,0.33
159,360,1510,13590,0.26
162,903,1498,41944,0.3
126,1198,992289,17861202,0.28
137,1877,433903,17356120,0.2
