id,instance_name,active_time_sec,boot_time_sec,get_requests,post_requests,traffic_in_mb,traffic_out_mb,average_response_time_ms
0,inst-000,85382,91,2596,12431,8739,54658,101
1,inst-001,75502,76,9511,11057,18263,100585,86
2,inst-002,47851,69,4423,4673,6787,81552,198
3,inst-003,75185,208,11309,9557,18647,65882,223
4,inst-004,78584,110,17087,9492,10922,154076,60
5,inst-005,77372,260,10839,16378,8631,113953,261
6,inst-006,76578,182,14807,11128,7629,164545,227
7,inst-007,81782,206,12545,5592,6758,73288,286
8,inst-008,76182,79,10723,7352,2259,165377,114
9,inst-009,75496,2162,14723,17702,6923,127767,78
10,inst-010,74126,165,10806,6902,17096,89711,103
11,inst-011,81135,305,10066,8475,8524,166650,181
12,inst-012,71663,159,8675,10906,8495,118263,50
13,inst-013,15493,362,12875,1947,7841,68755,123
14,inst-014,58030,113,3244,8604,21643,120023,169
15,inst-015,79827,230,15169,1867,8350,102709,202
16,inst-016,82003,141,0,7017,16470,91769,132
17,inst-017,75612,16,9463,17055,9980,88633,168
18,inst-018,75700,208,13023,8467,12018,107268,152
19,inst-019,47896,365,6569,8181,8002,105428,136
20,inst-020,70600,130,11433,8161,9945,150553,158
21,inst-021,85096,5,6541,6790,1181,52672,155
22,inst-022,71954,144,7377,11814,11070,140531,226
23,inst-023,77662,140,15707,8444,12943,21305,188
24,inst-024,80016,277,13040,10594,5007,61352,239
25,inst-025,81290,44,6910,10064,6827,195544,193
26,inst-026,79025,133,5680,6465,5676,187110,184
27,inst-027,68520,171,13258,13230,18337,72794,176
28,inst-028,80143,157,5830,12515,12503,130890,55
29,inst-029,82536,188,11989,14864,10440,43693,168
30,inst-030,74787,66,10354,13041,3308,122945,50
31,inst-031,76350,92,6877,3140,17248,118947,143
32,inst-032,83397,161,13431,3045,17490,86056,164
33,inst-033,70738,439,20731,18427,20035,72010,121
34,inst-034,85499,173,0,2667,10718,118149,207
35,inst-035,84720,38,5958,6163,9604,9636,154
36,inst-036,80572,113,7763,9857,10831,124689,104
37,inst-037,74913,254,6622,9342,6488,135248,209
38,inst-038,26717,312,16498,16438,11583,85865,76
39,inst-039,73327,193,9157,11885,5515,164461,143
40,inst-040,75456,287,12182,8095,8936,47142,96
41,inst-041,32480,72,12047,11412,10412,156652,168
42,inst-042,80570,28,16464,9949,15618,98053,142
43,inst-043,56944,256,3727,14869,5619,156698,148
44,inst-044,66114,134,8253,20862,2315,107249,225
45,inst-045,83917,150,4057,4819,2319,49582,182
46,inst-046,83069,165,0,5302,3146,92595,173
47,inst-047,80408,114,7,1715,15343,58914,187
48,inst-048,80257,71,5780,12602,9761,156920,92
49,inst-049,77004,155,6915,5520,14135,189400,208
50,inst-050,17679,214,17373,10782,11472,91027,143
51,inst-051,83306,166,10950,6470,22997,172785,230
52,inst-052,75272,33,9091,6209,10650,77644,53
53,inst-053,70507,214,4184,7378,14639,120630,135
54,inst-054,22972,232,3911,8037,9711,183046,150
55,inst-055,77101,252,12688,13328,10743,162466,149
56,inst-056,77169,255,18472,11370,10084,28996,179
57,inst-057,69764,427,5116,13187,1252,155274,125
58,inst-058,76908,51,9905,10155,14809,146405,50
59,inst-059,80153,145,10334,12430,7995,9304,104
60,inst-060,65084,314,6623,12858,15131,170719,106
61,inst-061,75724,169,17750,1837,1677,117083,182
62,inst-062,25707,20,20248,15970,10451,227008,158
63,inst-063,76188,234,16760,3359,14673,96006,140
64,inst-064,63502,341,18160,19994,9868,96361,173
65,inst-065,70907,13,13666,16145,15413,102902,176
66,inst-066,75468,91,2274,9040,7726,39333,141
67,inst-067,70324,99,7910,2275,14834,92121,141
68,inst-068,79217,5,8875,7216,8637,105888,201
69,inst-069,76793,159,10253,4362,361,117401,156
70,inst-070,84572,306,16257,10960,5068,2303,159
71,inst-071,26137,174,7500,7888,9203,0,223
72,inst-072,77454,323,23037,14135,4722,88220,175
73,inst-073,81414,191,9772,5582,4434,93727,158
74,inst-074,77997,173,12265,3537,4316,111247,171
75,inst-075,74258,247,19307,11881,16077,71587,113
76,inst-076,80477,138,14576,2049,10632,96720,175
77,inst-077,85370,5,6612,8285,16418,127324,50
78,inst-078,71771,293,9105,5606,0,104497,199
79,inst-079,85490,437,10151,5276,17455,122484,199
80,inst-080,86322,449,0,17537,11143,84359,192
81,inst-081,74591,591,9662,22655,10140,37026,140
82,inst-082,78430,143,7733,10231,5396,117032,155
83,inst-083,77061,275,9175,8752,11641,23018,164
84,inst-084,8707,64,11793,7197,9914,36355,91
85,inst-085,69984,111,18500,10587,16885,75554,50
86,inst-086,84415,101,18347,10600,10514,107845,170
87,inst-087,75419,296,12791,14461,22023,96588,81
88,inst-088,71996,161,6014,8888,9122,38300,193
89,inst-089,83890,31,7364,17263,8784,204938,141
90,inst-090,81719,90,14313,8225,13807,45949,67
91,inst-091,81896,5,6992,9753,10945,84515,136
92,inst-092,71506,5,8090,8863,5029,145306,135
93,inst-093,82534,321,2339,7359,8327,107498,92
94,inst-094,80169,110,15518,0,2742,91052,158
95,inst-095,84355,117,11130,13135,14048,150104,207
96,inst-096,85647,333,15183,18233,18563,99600,104
97,inst-097,73731,231,14147,8880,4845,42791,140
98,inst-098,79298,122,12597,8685,1150,199342,106
99,inst-099,70309,5,12800,5967,14215,101503,216
100,inst-100,81644,131,15249,10738,14388,47389,191
101,inst-101,79272,18,2225,7989,0,185200,170
102,inst-102,49501,210,5782,10206,15126,60709,167
103,inst-103,82402,106,11561,11418,9830,69738,158
104,inst-104,82815,201,24825,11130,12564,49290,159
105,inst-105,34874,77,8386,8982,7788,173034,132
106,inst-106,9865,47,11280,14136,14984,26270,180
107,inst-107,75613,176,5760,6219,9501,129782,147
108,inst-108,588,118,12075,5407,11329,189338,188
109,inst-109,76167,36,9912,9633,7554,107082,79
110,inst-110,76795,282,9623,14025,13596,73923,222
111,inst-111,78040,1642,15913,2475,4290,98867,148
112,inst-112,76900,297,16307,14116,12411,128722,266
113,inst-113,75728,175,10845,0,10699,50106,110
114,inst-114,86106,118,452,13521,20405,117538,163
115,inst-115,78908,60,17622,8374,2365,61187,190
116,inst-116,78690,183,15591,8078,1988,96600,132
117,inst-117,74753,160,8165,13975,8329,74847,50
118,inst-118,82811,373,12169,7645,5866,137767,79
119,inst-119,27453,272,16900,4423,13978,189872,111
120,inst-120,75541,5,3742,12334,4185,33339,199
121,inst-121,85795,67,5625,6851,6579,98101,85
122,inst-122,75924,242,0,6533,10931,139947,134
123,inst-123,69615,20,10819,3681,3138,75981,164
124,inst-124,12020,339,4285,13501,15843,105123,139
125,inst-125,80463,59,1191,9083,9227,177701,82
126,inst-126,8006,5,3738,7065,4424,33101,179
127,inst-127,81602,279,13785,9042,5423,117549,184
128,inst-128,73054,216,18192,8686,8463,155564,232
129,inst-129,81090,328,10061,11603,3346,114788,163
130,inst-130,7817,208,14916,14998,4465,103131,144
131,inst-131,70382,37,13359,8989,20195,152639,277
132,inst-132,80380,107,6086,7251,2307,110348,238
133,inst-133,1887,155,17772,7585,6755,132887,182
134,inst-134,82626,220,12431,13684,8118,187297,193
135,inst-135,76110,156,18265,14826,26355,64088,102
136,inst-136,34430,198,9600,13301,11969,66864,157
137,inst-137,71088,351,14590,16458,16776,0,98
138,inst-138,81949,388,2618,6379,0,66656,113
139,inst-139,74653,18,11045,3368,19595,197011,127
140,inst-140,45036,284,9269,1271,3300,56584,171
141,inst-141,74285,100,15709,7245,5945,111584,141
142,inst-142,85251,397,18200,8275,12497,66399,96
